bootstrap,wasserstein,kl,rmse,mae,dataset,model
9,0.162378,9.864761,1.431677,0.868296,weather,TimeVAE
10,0.163688,9.823052,1.477868,0.906677,weather,TimeVAE
11,0.16121,9.83082,1.421302,0.854879,weather,TimeVAE
12,0.16106,9.841777,1.423724,0.858718,weather,TimeVAE
13,0.163514,9.751917,1.469398,0.899628,weather,TimeVAE
14,0.162681,9.808814,1.440494,0.87382,weather,TimeVAE
0,0.127016,0.892299,0.188139,0.126516,electricity,VRNNGAN
1,0.125335,0.863918,0.185098,0.124083,electricity,VRNNGAN
2,0.125973,0.869401,0.18678,0.125281,electricity,VRNNGAN
3,0.125712,0.889285,0.184829,0.124413,electricity,VRNNGAN
4,0.126272,0.859298,0.188201,0.125901,electricity,VRNNGAN
5,0.125241,0.888169,0.18632,0.125127,electricity,VRNNGAN
6,0.124449,0.896682,0.18288,0.122432,electricity,VRNNGAN
7,0.12322,0.908397,0.184936,0.124056,electricity,VRNNGAN
8,0.125165,0.901208,0.187314,0.125971,electricity,VRNNGAN
9,0.124712,0.888349,0.187129,0.125828,electricity,VRNNGAN
10,0.125569,0.877298,0.185883,0.124773,electricity,VRNNGAN
11,0.124777,0.869765,0.185405,0.124675,electricity,VRNNGAN
12,0.123685,0.881328,0.186239,0.125354,electricity,VRNNGAN
13,0.125666,0.883522,0.188132,0.126436,electricity,VRNNGAN
14,0.125866,0.880259,0.189129,0.127311,electricity,VRNNGAN
0,0.173864,0.937541,0.165931,0.119531,exchange,VRNNGAN
1,0.174277,0.889884,0.16799,0.121394,exchange,VRNNGAN
2,0.174376,0.938519,0.169085,0.121992,exchange,VRNNGAN
3,0.16656,0.941961,0.165691,0.119022,exchange,VRNNGAN
4,0.173066,0.949665,0.168789,0.122237,exchange,VRNNGAN
5,0.171615,0.992825,0.169315,0.121623,exchange,VRNNGAN
6,0.172923,1.007457,0.173952,0.125255,exchange,VRNNGAN
7,0.172458,1.03196,0.174992,0.124782,exchange,VRNNGAN
8,0.17236,0.951546,0.169984,0.121615,exchange,VRNNGAN
9,0.165831,1.016491,0.167076,0.118591,exchange,VRNNGAN
10,0.171492,0.959114,0.17101,0.122856,exchange,VRNNGAN
11,0.171977,0.953696,0.171386,0.123911,exchange,VRNNGAN
12,0.177234,0.936068,0.178136,0.127695,exchange,VRNNGAN
13,0.176304,0.974112,0.177029,0.128787,exchange,VRNNGAN
14,0.172127,0.984517,0.172877,0.123072,exchange,VRNNGAN
0,0.128724,3.07053,0.300106,0.196829,weather,VRNNGAN
1,0.128574,3.066457,0.301541,0.199156,weather,VRNNGAN
2,0.130805,3.071192,0.305321,0.201186,weather,VRNNGAN
3,0.135165,3.070263,0.307833,0.203458,weather,VRNNGAN
4,0.128997,3.063457,0.309196,0.20354,weather,VRNNGAN
5,0.12646,3.060072,0.304778,0.199712,weather,VRNNGAN
6,0.127453,3.051741,0.301438,0.19809,weather,VRNNGAN
7,0.128058,3.072956,0.297349,0.195861,weather,VRNNGAN
8,0.134929,3.100531,0.310682,0.204259,weather,VRNNGAN
9,0.131757,3.092322,0.30554,0.201082,weather,VRNNGAN
10,0.125907,3.051074,0.301214,0.198281,weather,VRNNGAN
11,0.129025,3.08068,0.308106,0.201604,weather,VRNNGAN
12,0.126681,3.064443,0.303058,0.199316,weather,VRNNGAN
13,0.130373,3.104767,0.301026,0.197527,weather,VRNNGAN
14,0.12821,3.058565,0.29638,0.194905,weather,VRNNGAN
